name,year,temparature
Dar es Salaam, 2003 ,26.7607196601
Dar es Salaam, 2002 ,26.4563630258
Dar es Salaam, 2001 ,26.3573252254
Dar es Salaam, 2000 ,26.1877523698
Lindi, 2016 ,25.2839392583
Lindi, 2015 ,25.4650339475
Lindi, 2014 ,25.1729090854
Lindi, 2013 ,25.1415107721
Lindi, 2012 ,24.9532224575
Lindi, 2011 ,25.0278087373
Lindi, 2010 ,25.376262474
Lindi, 2009 ,25.1886834694
Lindi, 2008 ,24.8879687055
Lindi, 2007 ,25.179172926
Lindi, 2006 ,25.127527193
Lindi, 2005 ,25.4857236606
Lindi, 2004 ,25.064059705
Lindi, 2003 ,25.4688947862
Lindi, 2002 ,25.1755099374
Lindi, 2001 ,25.1107214695
Lindi, 2000 ,24.9351517956
Tabora, 2016 ,23.4548672876
Tabora, 2015 ,23.1405588465
Tabora, 2014 ,23.2117695227
Tabora, 2013 ,23.0911353554
Tabora, 2012 ,23.0999116844
Tabora, 2011 ,22.8472201682
Tabora, 2010 ,23.2846582694
Tabora, 2009 ,23.1517081869
Tabora, 2008 ,22.6025716878
Tabora, 2007 ,22.8537494354
Tabora, 2006 ,22.9371263264
Tabora, 2005 ,23.7055564939
Tabora, 2004 ,23.2762054229
Tabora, 2003 ,23.5793578516
Tabora, 2002 ,23.2734713239
Tabora, 2001 ,23.1330523801
Tabora, 2000 ,23.0841489407
Pwani, 2016 ,26.4949481015
Pwani, 2015 ,26.5424394283
Pwani, 2014 ,26.278811843
Pwani, 2013 ,26.2013326476
Pwani, 2012 ,26.0512006953
Pwani, 2011 ,26.0633048174
Pwani, 2010 ,26.3546557674
Pwani, 2009 ,26.2593929317
Pwani, 2008 ,25.8599075627
Pwani, 2007 ,26.0893016541
Pwani, 2006 ,26.0762741897
Pwani, 2005 ,26.4339649266
Pwani, 2004 ,26.1227518707
Pwani, 2003 ,26.5444701527
Pwani, 2002 ,26.2291991561
Pwani, 2001 ,26.1359614685
Pwani, 2000 ,25.9966442539
Ruvuma, 2016 ,23.2645703905
Ruvuma, 2015 ,23.442385516
Ruvuma, 2014 ,23.126751896
Ruvuma, 2013 ,23.1130512966
Ruvuma, 2012 ,22.899949999
Ruvuma, 2011 ,22.9996677761
Ruvuma, 2010 ,23.4841875516
Ruvuma, 2009 ,23.14111066
Ruvuma, 2008 ,22.9153456524
Ruvuma, 2007 ,23.2438187469
Ruvuma, 2006 ,23.2324087031
Ruvuma, 2005 ,23.6789903201
Ruvuma, 2004 ,23.1212316435
Ruvuma, 2003 ,23.4497147108
Ruvuma, 2002 ,23.169379717
Ruvuma, 2001 ,23.1348464424
Ruvuma, 2000 ,22.9312981451
Morogoro, 2016 ,24.6967673121
Morogoro, 2015 ,24.7357058064
Morogoro, 2014 ,24.4824989425
Morogoro, 2013 ,24.4338444237
Morogoro, 2012 ,24.2896883056
Morogoro, 2011 ,24.2697557285
Morogoro, 2010 ,24.6231129408
Morogoro, 2009 ,24.4671876981
Morogoro, 2008 ,24.0976111719
Morogoro, 2007 ,24.3539660681
Morogoro, 2006 ,24.4050618093
Morogoro, 2005 ,24.8228141822
Morogoro, 2004 ,24.3936808751
Morogoro, 2003 ,24.8001005159
Morogoro, 2002 ,24.4826817915
Morogoro, 2001 ,24.3922746962
Morogoro, 2000 ,24.2720448066
Rukwa, 2016 ,22.1951449386
Rukwa, 2015 ,22.0222353704
Rukwa, 2014 ,21.9430344918
Rukwa, 2013 ,21.8894537616
Rukwa, 2012 ,21.8153619235
Rukwa, 2011 ,21.6105400141
Rukwa, 2010 ,22.2055032635
Rukwa, 2009 ,21.7999706708
Rukwa, 2008 ,21.4819198615
Rukwa, 2007 ,21.8028802505
Rukwa, 2006 ,21.7770877968
Rukwa, 2005 ,22.6139726603
Rukwa, 2004 ,22.0632458576
